collectedAt,content.company,content.date,content.is_remote,content.role_family,recordType,schemaVersion,source.name,source.url
2026-08-12T11:59:08.992634+00:00,Second Front Systems,2026-08-12T09:40:21+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/second-front-systems/senior-technical-implementation-engineer-united-kingdom-united-kingdom-london-and-surrounding-areas-455247
2026-08-12T11:59:08.992751+00:00,DeepL,2026-08-12T09:40:20+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/deepl/lead-customer-marketing-manager-london-350197
2026-08-12T11:59:08.992855+00:00,Cube,2026-08-12T09:40:19+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/cube/senior-pr-lead-london-393530
2026-08-12T11:59:08.992955+00:00,Plaud,2026-08-12T09:40:17+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/plaud/localisation-content-manager-france-london-296490
2026-08-12T11:59:08.993018+00:00,Plaud,2026-08-12T09:40:17+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/plaud/integrated-marketing-manager-france-london-238993
2026-08-12T11:59:08.993106+00:00,Plaud,2026-08-12T09:40:17+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/plaud/dach-channel-sales-manager-london-371950
2026-08-12T11:59:08.993186+00:00,Plaud,2026-08-12T09:40:17+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/plaud/influencer-relations-manager-tiktok-london-298114
2026-08-12T11:59:08.993277+00:00,Plaud,2026-08-12T09:40:17+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/plaud/channel-sales-manager-emea-french-london-109975
2026-08-12T11:59:08.995473+00:00,Xtxmarketstechnologies,2026-08-12T06:55:13+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/xtxmarketstechnologies/software-developer-shared-engineering-london-283410
2026-08-12T11:59:08.997131+00:00,Precisionmedicinegroup,2026-08-12T06:55:03+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/precisionmedicinegroup/remote-principal-benefits-partner-488302
2026-08-12T11:59:08.997373+00:00,Kraken,2026-08-12T06:40:29+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/kraken/product-manager-ii-fraud-london-52400
2026-08-12T11:59:09.004611+00:00,Bjak,2026-08-12T06:40:26+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/bjak/communications-media-relations-manager-london-171953
2026-08-12T11:59:09.004669+00:00,Bjak,2026-08-12T06:40:25+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/bjak/business-operations-manager-ceo-office-london-120369
2026-08-12T11:59:09.004737+00:00,Bjak,2026-08-12T06:40:25+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/bjak/machine-learning-platform-engineer-london-165918
2026-08-12T11:59:09.004804+00:00,Bjak,2026-08-12T06:40:25+00:00,False,Engineering,JOB,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/bjak/llm-application-engineer-london-329410
