collectedAt,content.data.employeeCount,content.entityName,recordType,schemaVersion,source.name,source.url
2026-08-12T11:58:35.191132+00:00,2,Shotput,STARTUP,1.0,Y Combinator,http://theshotput.com
2026-08-12T11:58:35.191178+00:00,53,Tesorio,STARTUP,1.0,Y Combinator,https://www.tesorio.com
2026-08-12T11:58:35.191191+00:00,8,Thrive Agritech,STARTUP,1.0,Y Combinator,http://www.thriveagritech.com
2026-08-12T11:58:35.191204+00:00,50,Verge Genomics,STARTUP,1.0,Y Combinator,http://vergegenomics.com
2026-08-12T11:58:35.191299+00:00,280,Drip Capital,STARTUP,1.0,Y Combinator,http://dripcapital.com
2026-08-12T11:58:35.191436+00:00,2,Reduced Energy Microsystems,STARTUP,1.0,Y Combinator,http://remicro.com
2026-08-12T11:58:35.191501+00:00,1,Traversal Networks,STARTUP,1.0,Y Combinator,http://traversalnetworks.com
2026-08-12T11:58:35.191643+00:00,10,Klarismo,STARTUP,1.0,Y Combinator,http://klarismo.com
2026-08-12T11:58:35.191767+00:00,8,VOIQ,STARTUP,1.0,Y Combinator,http://voiq.com
2026-08-12T11:58:35.191836+00:00,115,Deepgram,STARTUP,1.0,Y Combinator,https://www.deepgram.com
2026-08-12T11:58:35.191940+00:00,9,iSono Health,STARTUP,1.0,Y Combinator,http://www.isonohealth.com
2026-08-12T11:58:35.192004+00:00,126,Daily,STARTUP,1.0,Y Combinator,https://daily.co
2026-08-12T11:58:35.192021+00:00,4,Algoriz,STARTUP,1.0,Y Combinator,http://www.algoriz.com
2026-08-12T11:58:35.192180+00:00,15,Pulpix,STARTUP,1.0,Y Combinator,https://www.pulpix.com
2026-08-12T11:58:35.192189+00:00,22,Revl,STARTUP,1.0,Y Combinator,https://revl.com/
2026-08-12T11:58:35.192274+00:00,3,Netomi,STARTUP,1.0,Y Combinator,https://netomi.com
2026-08-12T11:58:35.192291+00:00,850,Superside,STARTUP,1.0,Y Combinator,http://www.superside.com
2026-08-12T11:58:35.192310+00:00,250,Luciq (formerly Instabug),STARTUP,1.0,Y Combinator,https://luciq.ai
2026-08-12T11:58:35.192344+00:00,6,Pave,STARTUP,1.0,Y Combinator,https://www.paveai.com/
2026-08-12T11:58:35.192361+00:00,1000,Podium,STARTUP,1.0,Y Combinator,https://podium.com
2026-08-12T11:58:35.192420+00:00,230,Gecko Robotics,STARTUP,1.0,Y Combinator,https://www.geckorobotics.com
2026-08-12T11:58:35.192439+00:00,2,HistoWiz,STARTUP,1.0,Y Combinator,http://histowiz.com
2026-08-12T11:58:35.192468+00:00,15,Caper,STARTUP,1.0,Y Combinator,https://www.caper.ai/
2026-08-12T11:58:35.192588+00:00,300,Sendbird,STARTUP,1.0,Y Combinator,https://sendbird.com
2026-08-12T11:58:35.192606+00:00,2500,Relativity Space,STARTUP,1.0,Y Combinator,http://relativityspace.com
2026-08-12T11:58:35.192642+00:00,11,Nova,STARTUP,1.0,Y Combinator,http://www.nova.ai
2026-08-12T11:58:35.192906+00:00,10,Farmstead,STARTUP,1.0,Y Combinator,http://farmsteadapp.com
2026-08-12T11:58:35.192958+00:00,2,Sway Finance,STARTUP,1.0,Y Combinator,https://www.swayfinance.com
2026-08-12T11:58:35.192966+00:00,,Iris Automation,STARTUP,1.0,Y Combinator,http://www.irisonboard.com
2026-08-12T11:58:35.193002+00:00,35,OneChronos,STARTUP,1.0,Y Combinator,https://www.onechronos.com/
2026-08-12T11:58:35.193082+00:00,201,garten,STARTUP,1.0,Y Combinator,https://garten.co/
2026-08-12T11:58:35.193089+00:00,20,Mosaix.ai,STARTUP,1.0,Y Combinator,https://mosaix.ai
2026-08-12T11:58:35.193141+00:00,3,NeoWize,STARTUP,1.0,Y Combinator,http://www.neowize.com
2026-08-12T11:58:35.193160+00:00,2,Airo Health,STARTUP,1.0,Y Combinator,http://www.airohealth.com
2026-08-12T11:58:35.193169+00:00,4,Synvivia,STARTUP,1.0,Y Combinator,https://www.synvivia.com
2026-08-12T11:58:35.193211+00:00,39,Seerslab,STARTUP,1.0,Y Combinator,http://www.argear.io
2026-08-12T11:58:35.193240+00:00,100,Miso,STARTUP,1.0,Y Combinator,http://miso.kr
2026-08-12T11:58:35.193257+00:00,1000,Athelas,STARTUP,1.0,Y Combinator,http://athelas.com
2026-08-12T11:58:35.193331+00:00,32,CrowdAI,STARTUP,1.0,Y Combinator,https://crowdai.com/
2026-08-12T11:58:35.193358+00:00,23,Saleswhale,STARTUP,1.0,Y Combinator,https://www.saleswhale.com/
2026-08-12T11:58:35.193378+00:00,500,Scale AI,STARTUP,1.0,Y Combinator,http://scale.com
2026-08-12T11:58:35.193401+00:00,300,People.ai,STARTUP,1.0,Y Combinator,https://people.ai
2026-08-12T11:58:35.193533+00:00,10,Voiceops,STARTUP,1.0,Y Combinator,https://voiceops.com
2026-08-12T11:58:35.193575+00:00,40,Speak,STARTUP,1.0,Y Combinator,http://speak.com
2026-08-12T11:58:35.193592+00:00,4,Bountiful,STARTUP,1.0,Y Combinator,https://bountiful.ag/
2026-08-12T11:58:35.193601+00:00,2,Cowlar,STARTUP,1.0,Y Combinator,http://www.cowlar.com
2026-08-12T11:58:35.193609+00:00,15,Scribe,STARTUP,1.0,Y Combinator,http://tryscribe.com/
2026-08-12T11:58:35.193657+00:00,2,Pit.AI,STARTUP,1.0,Y Combinator,https://www.pit.ai
2026-08-12T11:58:35.193738+00:00,40,MDalgorithms Inc.,STARTUP,1.0,Y Combinator,https://www.mdalgorithms.com
2026-08-12T11:58:35.193895+00:00,7,Entry,STARTUP,1.0,Y Combinator,http://getentry.com
2026-08-12T11:58:35.193902+00:00,16,RankScience,STARTUP,1.0,Y Combinator,https://www.rankscience.com
2026-08-12T11:58:35.193933+00:00,150,Ambient.ai,STARTUP,1.0,Y Combinator,https://ambient.ai
2026-08-12T11:58:35.193951+00:00,2,Penny,STARTUP,1.0,Y Combinator,https://www.pennyapp.io
2026-08-12T11:58:35.194006+00:00,70,"Veryfi, Inc.",STARTUP,1.0,Y Combinator,https://www.veryfi.com/
2026-08-12T11:58:35.194059+00:00,25,AlemHealth,STARTUP,1.0,Y Combinator,https://www.alemhealth.com
2026-08-12T11:58:35.194109+00:00,2,Tetra,STARTUP,1.0,Y Combinator,https://asktetra.com
2026-08-12T11:58:35.194123+00:00,4,FloydHub,STARTUP,1.0,Y Combinator,http://www.floydhub.com/
2026-08-12T11:58:35.194187+00:00,45,BIOS Health,STARTUP,1.0,Y Combinator,https://www.bios.health
2026-08-12T11:58:35.194208+00:00,102,NanoNets,STARTUP,1.0,Y Combinator,https://nanonets.com
2026-08-12T11:58:35.194226+00:00,11,Bicycle AI,STARTUP,1.0,Y Combinator,http://bicycleai.com
2026-08-12T11:58:35.194302+00:00,900,Faire,STARTUP,1.0,Y Combinator,https://www.faire.com/
2026-08-12T11:58:35.194320+00:00,88,Ridecell,STARTUP,1.0,Y Combinator,https://www.ridecell.com
2026-08-12T11:58:35.194405+00:00,7,Mirror AI,STARTUP,1.0,Y Combinator,http://mirror-ai.com
2026-08-12T11:58:35.194427+00:00,22,Helix Nanotechnologies,STARTUP,1.0,Y Combinator,http://helixnano.com
2026-08-12T11:58:35.194437+00:00,4,ScopeAI,STARTUP,1.0,Y Combinator,https://www.getscopeai.com
2026-08-12T11:58:35.194475+00:00,225,Jerry,STARTUP,1.0,Y Combinator,https://jerry.ai/
2026-08-12T11:58:35.194518+00:00,33,Skyways,STARTUP,1.0,Y Combinator,http://skyways.com
2026-08-12T11:58:35.194554+00:00,70,VergeSense,STARTUP,1.0,Y Combinator,http://www.vergesense.com
2026-08-12T11:58:35.194657+00:00,35,UpCodes,STARTUP,1.0,Y Combinator,https://up.codes/
2026-08-12T11:58:35.194665+00:00,150,Standard AI,STARTUP,1.0,Y Combinator,https://standard.ai
2026-08-12T11:58:35.194703+00:00,25,Nimble,STARTUP,1.0,Y Combinator,http://www.hirenimble.com
2026-08-12T11:58:35.194711+00:00,8,Darmiyan,STARTUP,1.0,Y Combinator,https://www.darmiyan.com/
2026-08-12T11:58:35.194737+00:00,1000,Flock Safety,STARTUP,1.0,Y Combinator,http://www.flocksafety.com
2026-08-12T11:58:35.194786+00:00,6,Mystro,STARTUP,1.0,Y Combinator,http://www.mystrodriver.com
2026-08-12T11:58:35.194804+00:00,2,Semantix,STARTUP,1.0,Y Combinator,https://www.semantix.ai
2026-08-12T11:58:35.194862+00:00,38,Upfort,STARTUP,1.0,Y Combinator,https://www.upfort.com
2026-08-12T11:58:35.194878+00:00,2,Plasticity,STARTUP,1.0,Y Combinator,https://www.plasticity.ai
2026-08-12T11:58:35.194913+00:00,17,Cairns Health,STARTUP,1.0,Y Combinator,https://www.cairns.ai
2026-08-12T11:58:35.194935+00:00,7,Spect,STARTUP,1.0,Y Combinator,http://www.getspect.com
2026-08-12T11:58:35.195096+00:00,27,D-ID,STARTUP,1.0,Y Combinator,http://www.d-id.com
2026-08-12T11:58:35.195133+00:00,7,Percept.AI,STARTUP,1.0,Y Combinator,https://www.percept.ai/
2026-08-12T11:58:35.195167+00:00,35,Sourceress,STARTUP,1.0,Y Combinator,http://sourceress.com/
2026-08-12T11:58:35.195210+00:00,44,Headstart,STARTUP,1.0,Y Combinator,https://www.headstart.io
2026-08-12T11:58:35.195237+00:00,260,May Mobility,STARTUP,1.0,Y Combinator,http://maymobility.com
2026-08-12T11:58:35.195263+00:00,2,Commissary Club (formerly 70 Million Jobs),STARTUP,1.0,Y Combinator,https://www.Commissary.Club
2026-08-12T11:58:35.195304+00:00,65,AssemblyAI,STARTUP,1.0,Y Combinator,https://www.assemblyai.com
2026-08-12T11:58:35.195324+00:00,13,Lyrebird,STARTUP,1.0,Y Combinator,https://lyrebird.ai/
2026-08-12T11:58:35.195417+00:00,17,Social Construct,STARTUP,1.0,Y Combinator,http://socialconstructco.com
2026-08-12T11:58:35.195430+00:00,5,10 By 10,STARTUP,1.0,Y Combinator,https://10by10.io
2026-08-12T11:58:35.195443+00:00,20,Thematic,STARTUP,1.0,Y Combinator,http://www.getthematic.com
2026-08-12T11:58:35.195453+00:00,1,FollowUpThen,STARTUP,1.0,Y Combinator,https://www.followupthen.com/
2026-08-12T11:58:35.195483+00:00,9,Candidately,STARTUP,1.0,Y Combinator,https://www.candidately.com/
